name,latitude,longitude,role,source
Popova Shapka,42.015990,20.881736,base,original email
Titov Vrv,41.9922222,20.7977778,peak/orientation,original email
Ceripashina,42.0100869,20.8523069,orientation,original email
Plat,42.0240438,20.8132520,orientation,original email
Uliverica,41.991621,20.862261,orientation,original email
Jelak,42.024683,20.872809,orientation,original email
Crn Vrv,42.0432176,20.8626499,peak/orientation,original email
